,temp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time
65,-150,1593,15637,1787,-337,-4201,-270,2272,-1004,-1993,2022-10-15 13:29:14.447716
66,-147,1375,16221,1537,-280,-3333,-214,2419,-1019,-2196,2022-10-15 13:29:14.627195
67,-148,155,15855,1764,-219,-2917,-198,2489,-1058,-2225,2022-10-15 13:29:14.807215
68,-147,794,15985,1340,-279,-2205,-205,2580,-1021,-2364,2022-10-15 13:29:14.987044
69,-149,872,16161,1076,-166,-808,3,2554,-1039,-2402,2022-10-15 13:29:15.168193
70,-150,1709,15783,1511,76,44,-2,2519,-1029,-2375,2022-10-15 13:29:15.347888
71,-152,1238,16015,1026,-13,296,-66,2547,-988,-2329,2022-10-15 13:29:15.526985
72,-147,1255,16090,1228,11,693,10,2524,-1038,-2314,2022-10-15 13:29:15.706977
73,-150,1157,15952,1180,-105,102,-22,2525,-1001,-2386,2022-10-15 13:29:15.887219
74,-149,5587,15230,1629,-138,-212,25,2498,-982,-2358,2022-10-15 13:29:16.070437
75,-148,3537,16306,1069,230,-947,-98,2464,-932,-2442,2022-10-15 13:29:16.247906
76,-147,1362,16192,732,-120,-3028,-192,2530,-1023,-2473,2022-10-15 13:29:16.426530
77,-148,1600,16155,677,-543,-5391,-261,2582,-1116,-2669,2022-10-15 13:29:16.604869
78,-148,1044,16369,1352,-534,-5855,-498,2528,-1249,-2881,2022-10-15 13:29:16.782917
79,-149,190,15725,1384,-198,-4350,-36,2386,-1238,-3050,2022-10-15 13:29:16.961610
80,-147,508,16014,1336,-232,-3531,-286,2240,-1241,-3118,2022-10-15 13:29:17.139185
81,-150,1167,15645,793,-290,-1744,-81,2069,-1247,-3106,2022-10-15 13:29:17.319673
82,-146,484,15848,774,-92,-592,-49,1995,-1223,-3164,2022-10-15 13:29:17.502332
83,-149,1523,16266,887,-30,-347,22,1970,-1263,-3185,2022-10-15 13:29:17.679887
84,-147,1356,16337,806,-259,120,40,1939,-1251,-3147,2022-10-15 13:29:17.859806
85,-148,922,16135,1827,48,516,20,1951,-1200,-3203,2022-10-15 13:29:18.038890
86,-147,982,15688,1251,-113,193,-6,1984,-1202,-3186,2022-10-15 13:29:18.217765
87,-148,227,16303,1375,-219,-269,17,1932,-1231,-3114,2022-10-15 13:29:18.395727
88,-148,1608,15794,1198,-170,141,-4,1941,-1186,-3185,2022-10-15 13:29:18.575162
89,-149,1219,16367,1201,-240,185,-37,1915,-1196,-3183,2022-10-15 13:29:18.753948
90,-146,775,15947,1556,-47,86,-10,1943,-1225,-3175,2022-10-15 13:29:18.933046
91,-147,1536,15821,1227,-38,103,-19,1945,-1200,-3217,2022-10-15 13:29:19.117186
92,-147,1488,15757,1071,68,105,-5,1879,-1203,-3205,2022-10-15 13:29:19.297110
93,-146,1458,16131,727,82,818,99,1942,-1208,-3206,2022-10-15 13:29:19.477208
94,-146,996,15586,1043,-197,-1049,-53,1949,-1213,-3213,2022-10-15 13:29:19.657183
95,-146,1325,16044,1521,303,1541,55,1948,-1197,-3103,2022-10-15 13:29:19.836372
96,-147,441,16672,259,-322,4212,185,2152,-1166,-3146,2022-10-15 13:29:20.017521
97,-148,88,16295,1794,231,4649,396,2384,-1174,-2980,2022-10-15 13:29:20.198375
98,-146,1446,15886,1070,81,4127,441,2430,-1091,-2867,2022-10-15 13:29:20.378366
99,-148,988,15502,1772,224,3628,249,2448,-1026,-2741,2022-10-15 13:29:20.557460
100,-147,1281,16438,852,218,3518,191,2534,-989,-2562,2022-10-15 13:29:20.740768
101,-148,1117,16342,681,61,2790,103,2512,-976,-2488,2022-10-15 13:29:20.919724
102,-148,1326,15991,1110,-91,2364,125,2534,-974,-2414,2022-10-15 13:29:21.099268
103,-147,2081,16289,1447,-24,1697,118,2463,-969,-2348,2022-10-15 13:29:21.276218
104,-148,2245,15962,1083,207,786,29,2464,-976,-2344,2022-10-15 13:29:21.458664
105,-145,1562,16177,1089,-180,43,57,2462,-959,-2282,2022-10-15 13:29:21.636680
106,-148,1584,15718,1464,98,116,-35,2484,-934,-2288,2022-10-15 13:29:21.814813
107,-147,1034,16135,1472,-134,82,-10,2444,-962,-2320,2022-10-15 13:29:21.992233
108,-147,1508,15885,1708,-42,153,-56,2410,-965,-2319,2022-10-15 13:29:22.171365
109,-147,1850,16167,1055,79,-223,-53,2450,-969,-2276,2022-10-15 13:29:22.349551
110,-145,-45,16049,1149,98,-466,8,2465,-1039,-2390,2022-10-15 13:29:22.527679
111,-147,1247,16236,969,-185,-1216,-149,2486,-976,-2373,2022-10-15 13:29:22.705044
112,-147,1142,15669,1226,-454,-3777,-183,2534,-1073,-2463,2022-10-15 13:29:22.883352
113,-145,1003,15927,1191,-349,-4229,-216,2559,-1086,-2617,2022-10-15 13:29:23.064073
114,-146,1201,16191,1304,-158,-3415,-83,2552,-1144,-2737,2022-10-15 13:29:23.242968
115,-144,1247,16079,1399,-171,-3430,-131,2519,-1173,-2824,2022-10-15 13:29:23.420524
116,-145,1545,16166,1400,-149,-3273,-87,2376,-1232,-3003,2022-10-15 13:29:23.601531
117,-143,1439,15972,1139,-281,-3269,-153,2252,-1246,-3072,2022-10-15 13:29:23.785038
118,-147,1127,15818,1370,-218,-3139,-146,2089,-1235,-3111,2022-10-15 13:29:23.964762
119,-147,1317,15823,1137,-193,-3510,-237,1914,-1244,-3145,2022-10-15 13:29:24.146156
120,-146,1505,15925,782,-293,-3441,-121,1720,-1274,-3163,2022-10-15 13:29:24.325392
121,-144,1550,16160,428,-289,-3244,-62,1578,-1317,-3132,2022-10-15 13:29:24.506452
122,-145,1425,16092,1003,-443,-3472,-228,1421,-1319,-3109,2022-10-15 13:29:24.686297
123,-145,1542,15940,1505,-364,-3322,-115,1229,-1361,-3002,2022-10-15 13:29:24.865205
124,-145,2039,15897,755,-230,-3453,-283,1015,-1350,-2870,2022-10-15 13:29:25.045975
